cafe_mac,minutes_to_campus,fave_temp,hangout
Cheesecake,15,18,the mountains
Cheese pizza,10,24,a beach
udon noodles,4,18,the mountains
egg rolls,7,10,a beach
Tacos ,5,18,the mountains
pasta,35,7,the mountains
the loch!!!,5,75,a beach
Fries,15,24,a beach
mini pies,7,13,the mountains
coconut curry,20,16,a city
salad bar,11,18,a forest
Fries,10,24,a beach
Cinnamon Roll,12,21,a beach
veggie sausage,20,24,a forest
Chicken and rice,7,10,a beach
Breaded Fish,9,24,a city
Breakfast,10,18.33,a city
fries,7,22,the mountains
Mash Potatoes,15,23,a beach
tacos,15,21.1,a prairie
Pasta,7,18,the mountains
Toast,7,15,a city
Chicken thighs in a bun with fries,5,20,a prairie
roasted potatoes!,10,21,a city
Pasta Bake,18,21,the mountains
Fried fish,7,21,a city
Vegan chicken nuggets,10,17,a forest
Rotisserie Chicken,10,21,a beach
